left_actor_name,arrow,right_actor_name
Winona Ryder,<->,Ben Chaplin
Winona Ryder,<->,Sarah Wynter
Winona Ryder,<->,Philip Baker Hall
Kirsten Dunst,<->,James Caan
Kirsten Dunst,<->,Vincent Kartheiser
Kirsten Dunst,<->,Luis Guzmán
Joe Mantegna,<->,Peter Coyote
Joe Mantegna,<->,Mercedes Ruehl
Joe Mantegna,<->,Whoopi Goldberg
Kevin Spacey,<->,Linda Fiorentino
Kevin Spacey,<->,Peter Mullan
Kevin Spacey,<->,Stephen Dillane
David Aaron Baker,<->,Mary McCormack
David Aaron Baker,<->,Stockard Channing
David Aaron Baker,<->,Campbell Scott
Demi Moore,<->,Eloise Eonnet
Demi Moore,<->,Hadrian Dagannaud-Brouard
Demi Moore,<->,Chaya Cuénot
Dan Montgomery Jr.,<->,Aleksa Palladino
Dan Montgomery Jr.,<->,Karen Black
Dan Montgomery Jr.,<->,Peg O'Keef
Tommy Lee Jones,<->,Samuel L. Jackson
Tommy Lee Jones,<->,Guy Pearce
Tommy Lee Jones,<->,Ben Kingsley
Ben Kingsley,<->,Mercedes Ruehl
Ben Kingsley,<->,Matt Weinberg
Ben Kingsley,<->,Jason Fuchs
Harrison Ford,<->,Michelle Pfeiffer
Harrison Ford,<->,Katharine Towne
Harrison Ford,<->,Miranda Otto
Martin Lawrence,<->,Danny DeVito
Martin Lawrence,<->,John Leguizamo
Martin Lawrence,<->,Glenne Headly
Vincent D'Onofrio,<->,Janeane Garofalo
Vincent D'Onofrio,<->,Jeanne Tripplehorn
Vincent D'Onofrio,<->,Kevin Pollak
Tom Hanks,<->,Helen Hunt
Tom Hanks,<->,Paul Sanchez
Tom Hanks,<->,Lari White
Steve Buscemi,<->,Thora Birch
Steve Buscemi,<->,Scarlett Johansson
Steve Buscemi,<->,Brad Renfro
Samuel L. Jackson,<->,Vanessa Williams
Samuel L. Jackson,<->,Christian Bale
Samuel L. Jackson,<->,Jeffrey Wright
Emily Watson,<->,Dermot Mulroney
Emily Watson,<->,Nick Nolte
Emily Watson,<->,Nathan Lane
Diane Keaton,<->,Meg Ryan
Diane Keaton,<->,Lisa Kudrow
Diane Keaton,<->,Walter Matthau
Sam Neill,<->,William H. Macy
Sam Neill,<->,Téa Leoni
Sam Neill,<->,Alessandro Nivola
Sam Neill,<->,Hugo Weaving
Sam Neill,<->,John Cleese
Sam Neill,<->,Geoffrey Rush
Michael Laurence,<->,Christa Miller
Michael Laurence,<->,Stephen Tobolowsky
Michael Laurence,<->,Brion James
Lisa Denke,<->,Roland Kickinger
Lisa Denke,<->,William Sadler
Lisa Denke,<->,Allan Rich
Dante Basco,<->,Eddie Garcia
Dante Basco,<->,Jayson Schaal
Dante Basco,<->,Brian Card
Todd Field,<->,Craig Sheffer
Todd Field,<->,Daniel Baldwin
Todd Field,<->,Michael T. Weiss
Leonardo DiCaprio,<->,Tilda Swinton
Leonardo DiCaprio,<->,Daniel York
Leonardo DiCaprio,<->,Patcharawan Patarakijjanon
Kim Basinger,<->,Jimmy Smits
Kim Basinger,<->,Rufus Sewell
Kim Basinger,<->,Holliston Coleman
Matt Dillon,<->,James Caan
Matt Dillon,<->,Natascha McElhone
Matt Dillon,<->,Gérard Depardieu
Kevin Bacon,<->,Elisabeth Shue
Kevin Bacon,<->,Josh Brolin
Kevin Bacon,<->,Kim Dickens
Ben Affleck,<->,Morgan Freeman
Ben Affleck,<->,Ian Mongrain
Ben Affleck,<->,Russell Bobbitt
Morgan Freeman,<->,Gene Hackman
Morgan Freeman,<->,Thomas Jane
Morgan Freeman,<->,Monica Bellucci
Morgan Freeman,<->,Michael Wincott
Morgan Freeman,<->,Monica Potter
Morgan Freeman,<->,Dylan Baker
Esai Morales,<->,James Marshall
Esai Morales,<->,Yancy Butler
Esai Morales,<->,Renee Allman
Martin Donovan,<->,Anthony Arkin
Martin Donovan,<->,Marla Sucharetza
Martin Donovan,<->,Mary-Louise Parker
